"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 17 13:08:12 CST 2021","Fri Sep 17 13:08:13 CST 2021","1424","fiveTokenTest","test_WalletStatisticalIndicators","","","","test_calibrationWalletStatisticalIndicators",""
"passed","Fri Sep 17 13:08:07 CST 2021","Fri Sep 17 13:08:08 CST 2021","1049","fiveTokenTest","test_ActorById","","","","test_mainnetActorById",""
"passed","Fri Sep 17 13:08:08 CST 2021","Fri Sep 17 13:08:09 CST 2021","808","fiveTokenTest","test_ActorById","","","","test_calibrationActorById",""
"passed","Fri Sep 17 13:08:09 CST 2021","Fri Sep 17 13:08:12 CST 2021","2884","fiveTokenTest","test_WalletStatisticalIndicators","","","","test_mainnetWalletStatisticalIndicators",""
